Employee_ID,Name,Age,Gender,Department,Position,Years_at_Company,Salary,Education_Level,Performance_Score,Marital_Status,Has_Children,Working_Hours_per_Week,Remote_Work,Sick_Days_in_Last_Year,Promotion_Last_5_Years,Left_Company,Work_Life_Balance_Score,Job_Satisfaction_Score,Previous_Employer_Count,Favorite_Color,Hobby,Estimated_Annual_Bonus
20,Mehmet,20.0,Male,Finance,Manager,6,94723.0,Master,3,Divorced,False,37,False,1,True,False,9,6,5,Black,Music,10670.418883580127
21,Emine,46.0,Female,IT,Senior,15,37403.0,High School,2,Single,True,57,True,4,True,True,1,1,9,Green,Reading,5500.7116120593955
22,Ali,23.0,Male,Operations,Team Lead,13,51013.0,Master,3,Divorced,True,28,True,8,True,True,6,5,0,White,Traveling,2717.7781864218623
23,Ayşe,34.0,Female,Marketing,Intern,32,88436.0,PhD,2,Divorced,True,43,False,11,True,True,7,2,8,Black,Reading,10653.761714937573
24,Elif,43.0,Male,Finance,Junior,5,31604.0,High School,4,Divorced,True,24,True,2,True,True,4,2,6,Blue,Music,3465.7894976873445
25,Fatma,38.0,Male,Operations,Manager,20,72229.0,Master,2,Single,False,32,False,3,False,False,4,8,9,Blue,Gaming,3658.2935078119413
26,Emine,25.0,Male,,Junior,9,,Master,2,Single,False,40,True,12,False,False,9,2,0,Yellow,Reading,
27,Emine,38.0,Female,Operations,Junior,31,140828.0,High School,4,Single,False,28,False,2,False,True,4,1,5,Blue,Music,9296.38088154013
28,Ayşe,,Female,Sales,Junior,5,41594.0,Bachelor,4,Married,True,21,False,14,True,False,7,8,0,White,Reading,5411.853534792423
29,Elif,55.0,Female,Marketing,Junior,1,102042.0,High School,1,Single,False,20,True,14,True,True,6,5,9,Yellow,Gaming,8454.488197929315
30,Fatma,25.0,Male,Marketing,Manager,38,128834.0,Bachelor,2,Married,True,27,False,6,True,False,4,2,7,Blue,Reading,9240.08462813042
31,Ali,59.0,Female,Operations,Team Lead,26,98326.0,PhD,4,Divorced,True,43,True,12,True,False,8,8,7,Red,Reading,8727.355886538458
32,Ahmet,41.0,Female,HR,Intern,13,,Bachelor,4,Divorced,False,53,False,12,False,False,9,2,8,Black,Traveling,
33,Fatma,52.0,Female,,Team Lead,22,80404.0,High School,1,Divorced,True,29,True,2,True,True,5,9,5,Blue,Reading,6077.239604067268
34,Ayşe,31.0,Male,Sales,Manager,38,66709.0,PhD,4,Single,True,20,True,6,False,True,8,1,9,Green,Reading,6910.729449141089
35,Emine,31.0,Female,Marketing,Intern,20,107950.0,High School,1,Married,False,54,True,4,False,True,4,3,6,Black,Gaming,12858.814863499318
36,Ali,27.0,Female,HR,Senior,29,55233.0,High School,4,Single,False,45,True,2,False,True,9,8,7,Black,Sports,4414.059064353726
37,Fatma,29.0,Male,Marketing,Team Lead,24,79009.0,Bachelor,1,Single,True,23,True,0,True,False,7,9,9,White,Reading,9021.728767984006
38,Ahmet,55.0,Male,Marketing,Manager,23,138360.0,Bachelor,2,Divorced,False,50,True,4,False,False,8,1,9,Black,Sports,20093.325920507712
39,Ahmet,61.0,Male,HR,Manager,10,51617.0,Bachelor,4,Married,False,24,True,8,False,True,1,3,5,Red,Music,5385.702394325573
40,Mehmet,63.0,Male,Marketing,Manager,34,137664.0,PhD,4,Single,True,42,True,9,True,False,6,9,2,Black,Traveling,9316.851923341706
41,Mehmet,51.0,Male,Operations,Intern,3,89944.0,Bachelor,2,Married,False,53,True,3,True,True,1,2,5,Yellow,Traveling,10228.74387566508
42,Hüseyin,58.0,Male,Finance,Junior,36,101328.0,PhD,2,Single,True,34,True,8,False,True,7,5,4,Red,Music,14986.279795831373
43,Ayşe,27.0,Female,Operations,Senior,35,62723.0,High School,2,Divorced,True,22,True,11,False,False,4,2,1,Yellow,Sports,7886.0867812798
44,Elif,34.0,Female,Marketing,Intern,12,114406.0,High School,1,Single,False,38,True,10,False,False,7,6,7,White,Music,8288.643439968866
45,Fatma,34.0,Male,IT,Intern,8,,Bachelor,4,Married,True,58,True,9,False,False,1,2,6,White,Traveling,
46,Fatma,20.0,Female,IT,Team Lead,27,73415.0,Master,4,Divorced,True,58,True,2,True,False,3,5,9,Green,Traveling,4389.595858474092
47,Elif,48.0,Male,Finance,Senior,15,,High School,3,Single,False,46,False,7,True,False,3,6,6,Blue,Music,
48,Hüseyin,18.0,Female,Marketing,Manager,5,143831.0,Master,3,Married,True,41,False,4,True,False,9,9,9,Red,Music,11875.872165607836
49,Emine,29.0,Male,Sales,Intern,26,,Master,4,Married,True,34,False,5,True,True,6,8,1,Green,Gaming,
50,Emine,56.0,Male,Marketing,Senior,9,136093.0,Master,1,Divorced,False,59,False,3,True,False,7,8,6,White,Music,8862.601555439147
51,Hüseyin,,Female,IT,Team Lead,22,121842.0,Bachelor,1,Divorced,False,34,True,5,True,True,8,8,7,Yellow,Traveling,18070.266746883703
52,Emine,59.0,Female,HR,Junior,20,140307.0,PhD,3,Single,False,51,False,2,True,False,5,8,0,Black,Gaming,12125.140714290117
53,Mehmet,30.0,Female,Finance,Senior,25,58618.0,High School,3,Divorced,False,50,False,6,False,True,4,1,7,Red,Reading,5945.416237596527
54,Fatma,51.0,Female,HR,Manager,2,49622.0,Master,3,Single,True,58,True,3,False,True,3,8,7,Blue,Sports,7441.179120528144
55,Hüseyin,59.0,Female,Sales,Intern,34,,PhD,3,Married,True,36,True,4,True,False,6,1,6,Black,Gaming,
56,Fatma,38.0,Female,Marketing,Junior,6,68052.0,Bachelor,3,Divorced,True,32,True,5,False,True,7,8,0,Blue,Traveling,5929.877619277183
57,Elif,39.0,Female,Sales,Team Lead,26,98225.0,High School,2,Married,True,57,False,4,False,False,2,3,9,White,Music,12806.391315412418
58,Ahmet,21.0,Female,HR,Manager,32,139829.0,PhD,4,Married,False,56,False,13,True,True,2,1,2,White,Music,8027.3706868048475
59,Mehmet,,Male,Marketing,Junior,3,44899.0,Bachelor,4,Single,True,35,False,11,False,False,2,9,1,Blue,Gaming,3424.2099011005735
60,Ali,22.0,Female,Operations,Team Lead,25,131636.0,High School,3,Divorced,True,47,False,1,True,True,8,4,3,Yellow,Music,13043.706972513017
61,Mehmet,36.0,Female,Operations,Manager,7,145886.0,High School,4,Single,False,53,True,11,True,False,1,3,4,Black,Music,15670.437038154265
62,Hüseyin,,Male,Sales,Intern,19,36954.0,Bachelor,4,Divorced,True,51,False,11,True,False,3,9,5,Yellow,Reading,4899.955698547893
63,Ali,29.0,Male,Operations,Team Lead,16,135567.0,Master,2,Single,True,43,False,10,False,False,7,2,9,Red,Gaming,16946.919343298006
64,Ahmet,34.0,Male,Operations,Junior,4,121492.0,High School,2,Single,True,56,False,3,True,False,1,4,6,Red,Traveling,14816.952186241348
65,Hüseyin,27.0,Male,IT,Manager,8,61089.0,High School,1,Single,True,24,False,7,False,True,2,3,3,Green,Gaming,5413.02497657047
66,Ayşe,,Female,Operations,Senior,7,,Master,1,Married,False,42,False,7,False,True,5,8,8,Yellow,Traveling,
67,Fatma,23.0,Female,IT,Manager,6,69818.0,PhD,3,Divorced,True,40,True,6,False,False,4,6,8,White,Traveling,9289.51751136044
68,Ahmet,25.0,Male,Finance,Junior,36,78848.0,High School,1,Married,True,20,True,9,False,False,3,2,4,Yellow,Traveling,7659.863773148855
69,Fatma,28.0,Male,IT,Junior,35,117181.0,PhD,3,Married,False,32,True,1,True,True,8,9,9,Black,Traveling,9869.036039531145
70,Emine,29.0,Female,IT,Senior,2,108593.0,Master,1,Single,True,27,False,13,False,True,9,3,6,Red,Sports,5458.695757081482
71,Ayşe,26.0,Female,,Junior,7,72150.0,High School,4,Single,False,20,False,3,False,True,2,6,6,Green,Reading,6399.078434191375
72,Ayşe,,Female,IT,Manager,4,103406.0,Master,4,Married,False,34,True,8,False,False,6,9,7,Red,Reading,5726.692356691001
73,Ahmet,25.0,Female,IT,Team Lead,4,113262.0,High School,1,Divorced,True,29,False,5,True,False,9,1,1,White,Gaming,9118.222934688396
74,Ayşe,28.0,Male,HR,Manager,16,80806.0,High School,4,Single,False,20,True,14,False,False,7,6,7,Yellow,Reading,5632.8080336371795
75,Ali,53.0,Female,IT,Junior,26,100289.0,High School,4,Married,True,33,True,13,False,False,6,9,4,Green,Sports,8293.106060521639
76,Ayşe,27.0,Male,Operations,Senior,39,102672.0,Master,3,Divorced,True,56,False,11,False,True,9,9,0,Blue,Reading,5761.515120831916
77,Fatma,38.0,Male,IT,Senior,38,123518.0,High School,4,Divorced,True,40,False,10,False,False,7,2,6,White,Sports,15767.357518207511
78,Fatma,37.0,Male,Finance,Intern,11,55564.0,PhD,1,Married,False,20,True,7,False,True,2,6,9,Red,Reading,3268.2561357809836
79,Hüseyin,25.0,Female,IT,Senior,27,74505.0,Bachelor,4,Married,True,46,True,8,True,True,7,2,2,Yellow,Traveling,9074.5812217337
80,Fatma,53.0,Male,IT,Senior,3,144304.0,Bachelor,3,Divorced,False,50,False,4,True,True,6,7,7,Yellow,Reading,20711.973927462994
81,Hüseyin,46.0,Female,Finance,Junior,27,79149.0,Bachelor,1,Divorced,True,26,False,4,True,True,3,4,0,Green,Sports,7837.044745929365
82,Fatma,59.0,Male,HR,Team Lead,24,145765.0,PhD,3,Married,False,37,True,8,True,True,1,9,9,Yellow,Sports,18729.318998703417
83,Ali,29.0,Female,Operations,Team Lead,35,95657.0,High School,4,Married,True,55,False,5,True,True,1,8,1,Green,Traveling,13808.675227711577
84,Elif,31.0,Male,IT,Junior,2,82347.0,Master,4,Divorced,False,43,True,6,False,True,9,6,0,Green,Traveling,8551.990272057894
85,Hüseyin,38.0,Male,Operations,Senior,30,97750.0,Master,4,Single,False,57,True,7,False,True,9,4,4,Black,Gaming,7467.9881432955835
86,Mehmet,39.0,Female,Sales,Manager,36,82143.0,High School,2,Divorced,True,54,False,11,True,True,5,3,7,Red,Music,4283.5510228941075
87,Emine,38.0,Female,Operations,Team Lead,11,137329.0,PhD,3,Divorced,False,23,True,7,False,False,2,9,9,Green,Music,12823.202219403292
88,Ahmet,61.0,Male,HR,Junior,36,89022.0,Bachelor,1,Divorced,False,21,False,14,True,True,3,6,5,Yellow,Music,5818.84084281475
89,Fatma,47.0,Male,HR,Manager,36,64837.0,PhD,4,Divorced,False,54,True,12,False,False,6,3,3,Blue,Reading,8783.842215252093
90,Ayşe,56.0,Female,IT,Senior,3,,PhD,2,Single,False,37,False,2,False,False,8,4,7,Black,Reading,
91,Elif,37.0,Male,Finance,Junior,29,40076.0,Master,2,Married,True,21,False,4,True,False,9,8,9,White,Traveling,4946.2861081675255
92,Fatma,41.0,Female,HR,Team Lead,37,107784.0,High School,3,Divorced,False,46,False,10,False,True,6,4,5,Green,Sports,6400.580690934428
93,Ayşe,40.0,Female,Finance,Manager,37,31962.0,Master,4,Married,False,59,False,0,True,False,5,4,9,Red,Sports,3668.480716754463
94,Emine,24.0,Male,Sales,Manager,26,50407.0,Bachelor,3,Married,False,26,True,2,False,False,1,9,5,Black,Gaming,4092.1826395315466
95,Emine,26.0,Female,,Team Lead,21,120519.0,Bachelor,4,Married,False,50,True,1,False,False,7,3,4,Green,Music,11891.714666363901
96,Emine,18.0,Male,Marketing,Manager,0,124689.0,Master,4,Divorced,True,53,False,9,True,False,5,2,7,Blue,Gaming,18340.851330877143
97,Ayşe,43.0,Female,Finance,Team Lead,37,,High School,4,Divorced,True,26,True,1,True,False,1,7,3,Black,Reading,
98,Fatma,55.0,Female,HR,Junior,19,85572.0,High School,2,Divorced,False,48,True,1,True,False,5,1,2,Red,Traveling,9889.85771306726
99,Emine,55.0,Male,Finance,Intern,17,77919.0,PhD,3,Single,False,27,True,0,False,True,4,3,4,Blue,Gaming,11127.631425558895
100,Ali,61.0,Female,Finance,Senior,5,114289.0,PhD,3,Married,False,52,False,14,False,False,4,3,8,Yellow,Reading,6299.214356287727
101,Hüseyin,39.0,Male,Marketing,Junior,11,122274.0,Master,3,Single,True,22,True,10,False,False,8,7,6,Blue,Sports,13708.103362751299
102,Ayşe,61.0,Female,Marketing,Senior,16,48703.0,Bachelor,1,Single,False,59,False,5,False,False,2,7,5,Yellow,Music,5313.6223438835095
103,Ayşe,27.0,Female,IT,Senior,21,82391.0,High School,1,Divorced,True,51,False,3,True,False,9,9,5,Red,Reading,9004.226338780885
104,Fatma,,Female,HR,Team Lead,17,136260.0,Master,2,Married,False,38,False,9,True,False,3,2,4,White,Traveling,10568.225284720771
105,Ayşe,34.0,Female,IT,Intern,9,35555.0,Master,2,Married,False,23,True,1,True,False,6,6,8,Green,Sports,4343.058060692799
106,Ayşe,55.0,Male,Marketing,Senior,23,31892.0,Bachelor,2,Divorced,False,29,True,14,False,True,2,7,7,White,Sports,4301.284315956617
107,Emine,41.0,Female,Finance,Senior,19,69175.0,PhD,3,Divorced,False,37,False,4,False,True,9,2,1,Blue,Music,5574.046970895922
108,Fatma,27.0,Female,Marketing,Junior,11,106025.0,Bachelor,3,Single,True,38,False,1,True,True,1,1,9,Red,Gaming,7200.136344859531
109,Emine,25.0,Female,Sales,Intern,3,76541.0,PhD,4,Divorced,True,31,False,7,True,True,8,3,8,Blue,Traveling,11112.882121696706
110,Hüseyin,38.0,Male,Finance,Intern,4,110749.0,PhD,3,Single,False,30,True,3,False,False,3,5,4,Green,Traveling,14716.529269979987
111,Elif,23.0,Male,IT,Senior,25,77542.0,High School,2,Married,False,51,True,11,True,True,6,3,0,Black,Gaming,11118.10589019369
112,Hüseyin,38.0,Male,Finance,Intern,35,82990.0,High School,2,Single,True,25,True,13,True,True,3,2,7,Blue,Sports,5219.959681001609
113,Elif,56.0,Male,Sales,Junior,15,119429.0,PhD,4,Divorced,True,57,True,14,False,False,6,6,6,White,Reading,16430.946491355673
114,Emine,41.0,Female,Marketing,Team Lead,4,97025.0,PhD,1,Married,False,47,False,4,True,True,1,8,0,Green,Gaming,13009.570218844972
115,Hüseyin,50.0,Female,HR,Senior,25,125289.0,High School,3,Single,False,45,False,7,True,False,7,4,3,White,Gaming,11935.22079831158
116,Fatma,35.0,Female,Operations,Manager,18,56628.0,PhD,3,Single,False,27,False,5,False,False,6,2,7,White,Traveling,5126.714807138973
117,Ahmet,45.0,Male,HR,Senior,5,,PhD,1,Married,False,29,True,0,False,False,7,5,7,Green,Sports,
118,Emine,49.0,Male,HR,Senior,23,111518.0,PhD,2,Single,True,41,False,5,False,False,5,8,5,White,Music,12271.403098026125
119,Elif,29.0,Female,Marketing,Team Lead,30,122012.0,Bachelor,2,Single,True,53,True,14,False,True,8,9,4,Black,Reading,13497.71271041217
120,Ali,59.0,Female,HR,Manager,30,97357.0,Master,2,Single,True,41,True,0,True,True,9,9,7,Blue,Traveling,12711.637654657841
121,Elif,44.0,Female,Sales,Manager,6,123022.0,PhD,3,Divorced,True,41,False,10,True,False,9,4,8,Blue,Gaming,10620.654204146042
122,Ali,27.0,Male,Marketing,Manager,9,108088.0,High School,1,Divorced,True,25,False,5,True,False,6,3,5,White,Music,5778.184302129965
123,Ayşe,63.0,Female,HR,Team Lead,38,113192.0,PhD,1,Divorced,True,50,False,6,True,True,8,1,5,White,Gaming,9227.420208819982
124,Hüseyin,59.0,Female,Operations,Intern,21,126350.0,PhD,2,Single,False,55,False,5,False,False,7,3,3,Green,Sports,14846.434095653467
125,Ali,49.0,Male,IT,Manager,13,72846.0,High School,3,Married,False,30,False,3,True,False,5,9,9,Blue,Reading,9914.681649500722
126,Elif,59.0,Male,Marketing,Intern,27,89176.0,High School,1,Single,False,37,True,3,True,False,7,5,9,Black,Traveling,6947.774549772976
127,Ayşe,43.0,Female,Marketing,Junior,21,106594.0,PhD,3,Single,False,53,False,13,True,True,1,5,9,Blue,Reading,13021.408355893946
128,Ahmet,42.0,Male,Finance,Team Lead,31,104424.0,Master,4,Divorced,True,22,False,1,True,False,5,2,3,White,Gaming,9750.10579238247
129,Fatma,,Female,HR,Intern,10,149524.0,High School,2,Divorced,False,57,True,1,True,False,4,5,1,Blue,Sports,8767.940758073546
130,Fatma,40.0,Female,IT,Manager,13,106092.0,High School,2,Single,False,55,True,6,True,False,5,3,2,Yellow,Reading,6241.867336059856
131,Fatma,51.0,Female,Operations,Manager,30,,Bachelor,4,Divorced,True,36,False,9,False,True,7,9,9,Green,Traveling,
132,Ali,57.0,Female,Sales,Intern,3,,PhD,1,Single,True,49,True,7,True,False,5,2,3,Green,Music,
133,Ahmet,40.0,Male,Marketing,Intern,21,49225.0,Bachelor,2,Divorced,True,49,False,5,False,True,2,1,1,Yellow,Gaming,6609.685792751529
134,Ali,46.0,Male,Sales,Junior,28,138745.0,Bachelor,1,Single,True,50,False,5,False,False,5,5,7,Blue,Music,7888.179085794179
135,Hüseyin,48.0,Male,Sales,Team Lead,34,119861.0,Master,2,Single,True,51,False,6,False,False,2,8,6,White,Traveling,9366.470647916503
136,Ali,24.0,Female,Sales,Senior,12,74084.0,PhD,4,Married,True,38,True,2,True,False,2,1,2,Blue,Traveling,10345.030938844642
137,Ahmet,57.0,Female,Finance,Junior,19,130668.0,PhD,4,Divorced,True,28,True,11,False,False,8,9,4,Black,Traveling,14973.55528481817
138,Ahmet,50.0,Female,Sales,Junior,18,123856.0,Bachelor,1,Married,True,35,False,9,False,False,2,7,4,Red,Traveling,10421.551299132036
139,Hüseyin,38.0,Male,HR,Junior,14,100899.0,High School,2,Divorced,False,57,True,13,True,True,2,9,1,Red,Gaming,11265.042989390722
140,Ahmet,19.0,Male,HR,Manager,25,111836.0,High School,2,Divorced,False,38,False,1,True,True,1,7,5,Green,Gaming,9272.260908368193
141,Elif,35.0,Female,IT,Intern,19,31117.0,PhD,3,Divorced,False,49,False,3,True,False,3,4,9,Yellow,Reading,2040.9557277399929
142,Ahmet,64.0,Male,IT,Team Lead,35,127831.0,Master,3,Married,False,55,False,1,False,False,7,8,4,Black,Gaming,6398.7718022026875
143,Fatma,50.0,Male,Operations,Manager,5,,Master,2,Divorced,False,30,False,6,True,False,1,7,3,Blue,Reading,
144,Elif,54.0,Male,Sales,Junior,14,90507.0,PhD,1,Single,False,34,True,12,False,True,1,6,6,White,Reading,8619.105035576498
145,Elif,51.0,Male,Sales,Team Lead,3,47196.0,High School,4,Single,True,43,True,12,False,True,7,3,0,Yellow,Sports,6349.90811862355
146,Hüseyin,37.0,Female,Finance,Manager,5,128341.0,Master,2,Divorced,True,40,False,14,False,True,3,1,9,Black,Reading,16734.931972922324
147,Mehmet,52.0,Male,Sales,Senior,1,32460.0,PhD,3,Divorced,False,29,True,8,True,True,6,3,7,Blue,Reading,1740.2817372668983
148,Mehmet,35.0,Female,Sales,Junior,35,83490.0,PhD,4,Divorced,False,44,True,6,False,True,7,7,1,Blue,Traveling,8550.491435593744
149,Ahmet,63.0,Male,Sales,Manager,14,142590.0,High School,1,Divorced,False,51,True,11,False,False,1,7,6,White,Traveling,11980.584485061518
150,Elif,41.0,Female,Marketing,Manager,11,50103.0,Bachelor,2,Divorced,False,52,True,4,True,True,4,8,1,Red,Traveling,7061.528719934861
151,Mehmet,25.0,Female,Marketing,Junior,39,86383.0,High School,2,Divorced,True,43,False,11,True,False,3,1,3,Blue,Gaming,12763.010091543389
152,Mehmet,47.0,Male,Finance,Senior,6,104582.0,Master,4,Married,True,40,True,2,False,False,9,8,9,Green,Reading,7761.018496920494
153,Ahmet,61.0,Female,Finance,Intern,21,74906.0,Bachelor,4,Single,False,45,False,11,True,False,8,5,9,Black,Sports,5309.556053724128
154,Mehmet,27.0,Female,HR,Senior,7,105976.0,High School,3,Divorced,False,36,True,0,False,True,7,4,4,Green,Traveling,6860.7757169049355
155,Ali,40.0,Male,Finance,Junior,10,130658.0,Master,1,Married,False,38,True,0,False,False,9,6,9,Yellow,Sports,18293.60183624156
156,Ayşe,28.0,Female,Operations,Intern,1,99578.0,Master,4,Married,False,22,True,2,True,False,9,6,6,Yellow,Sports,9424.186372849817
157,Hüseyin,19.0,Male,HR,Manager,29,89141.0,Bachelor,1,Divorced,False,32,False,3,True,False,1,3,6,Blue,Traveling,6465.898309602894
158,Ayşe,43.0,Female,Sales,Senior,3,79326.0,High School,1,Married,False,21,False,13,True,True,7,8,1,Black,Gaming,6391.408582949497
159,Ahmet,53.0,Male,Finance,Senior,24,74023.0,High School,2,Single,True,51,False,11,False,False,7,5,5,White,Sports,6698.519101522712
160,Fatma,50.0,Male,Operations,Intern,20,110865.0,Master,4,Divorced,False,52,False,4,False,True,9,2,8,Blue,Gaming,16414.576157197604
161,Hüseyin,64.0,Male,,Manager,24,145359.0,PhD,4,Divorced,False,51,False,12,False,True,6,3,1,Green,Music,20283.87767058831
162,Ahmet,30.0,Male,Finance,Senior,8,63461.0,PhD,3,Single,True,44,False,8,True,True,6,9,3,Red,Gaming,6300.458245549173
163,Elif,57.0,Male,HR,Intern,7,,Bachelor,2,Married,True,22,False,11,True,True,3,8,7,Green,Music,
164,Fatma,42.0,Female,HR,Senior,4,35976.0,High School,4,Divorced,True,26,True,1,True,False,1,2,6,White,Reading,2659.372777980341
165,Ayşe,21.0,Female,IT,Manager,27,129426.0,PhD,4,Single,True,44,True,12,True,False,6,8,6,Black,Traveling,13292.787366023635
166,Ahmet,59.0,Male,HR,Manager,1,82449.0,Bachelor,3,Single,True,42,True,3,True,True,1,1,6,Green,Gaming,10575.616518984632
167,Elif,36.0,Female,HR,Team Lead,20,148674.0,Master,3,Divorced,True,47,False,2,False,True,5,1,1,Blue,Traveling,9930.629396264841
168,Hüseyin,35.0,Female,Marketing,Intern,7,147284.0,PhD,1,Single,False,31,False,7,True,False,3,3,3,White,Gaming,15028.666241407152
169,Hüseyin,54.0,Female,Finance,Junior,33,34368.0,High School,2,Divorced,False,27,True,12,False,False,9,5,0,Red,Reading,2920.541309753255
170,Emine,47.0,Male,HR,Senior,22,33023.0,Master,1,Married,True,54,False,0,False,False,1,9,0,Black,Reading,4213.8632893441445
171,Elif,36.0,Male,Finance,Manager,14,104511.0,High School,3,Divorced,False,44,False,0,False,True,3,4,7,Green,Music,14211.987516827563
172,Ali,,Female,Finance,Senior,26,121321.0,Master,4,Divorced,False,49,True,8,False,True,3,8,8,White,Traveling,7698.08131339282
173,Mehmet,33.0,Male,Marketing,Senior,1,137435.0,High School,4,Single,True,51,True,0,True,False,1,7,6,Black,Sports,17859.0649429361
174,Fatma,18.0,Male,Finance,Junior,27,91891.0,Bachelor,3,Single,True,55,True,3,True,False,1,3,2,Red,Music,10543.914151781679
175,Elif,29.0,Female,,Manager,10,77664.0,High School,1,Married,False,51,True,7,True,False,9,9,0,Blue,Music,11639.144301223188
176,Emine,41.0,Male,HR,Team Lead,20,80680.0,High School,1,Divorced,False,44,False,13,True,True,1,6,6,Yellow,Reading,6959.320004872523
177,Mehmet,51.0,Male,Finance,Intern,31,79245.0,Master,3,Married,True,45,False,3,False,True,3,4,2,Red,Reading,7421.5179836388525
178,Mehmet,25.0,Male,IT,Senior,31,39522.0,High School,4,Single,True,27,True,4,True,False,3,4,4,Blue,Sports,4122.705760934864
179,Ahmet,35.0,Male,IT,Junior,6,72721.0,High School,2,Married,False,24,True,1,False,False,8,5,2,Red,Music,9416.00444603382
180,Mehmet,22.0,Male,Marketing,Junior,21,69428.0,High School,1,Divorced,False,21,True,8,False,False,5,2,5,Yellow,Traveling,6789.499382884097
181,Ali,43.0,Female,Operations,Intern,13,44176.0,Master,2,Divorced,False,38,False,9,True,True,4,5,0,Yellow,Music,3041.658785573458
182,Hüseyin,47.0,Male,HR,Intern,12,116969.0,PhD,4,Divorced,True,22,False,8,False,False,7,8,4,Black,Reading,15570.413866860972
183,Emine,30.0,Male,Marketing,Manager,20,114141.0,PhD,3,Single,False,31,False,12,False,True,7,9,0,Blue,Reading,8189.596057685708
184,Mehmet,36.0,Female,IT,Senior,21,49126.0,PhD,1,Single,True,58,True,2,False,True,3,4,5,Red,Gaming,3123.24755772222
185,Ahmet,46.0,Female,Operations,Senior,33,31096.0,High School,1,Divorced,False,51,True,7,True,False,3,4,1,Yellow,Traveling,2821.6348325224526
186,Ali,20.0,Male,HR,Intern,9,120111.0,Bachelor,4,Single,False,25,True,8,True,False,4,8,6,Blue,Music,12903.988979635158
187,Ayşe,43.0,Female,Finance,Team Lead,0,59840.0,Bachelor,3,Married,False,27,False,2,True,False,2,3,7,Yellow,Music,7956.659837382325
188,Hüseyin,57.0,Male,HR,Senior,0,84155.0,Master,1,Married,False,24,False,13,True,False,2,3,3,White,Sports,5596.326149626687
189,Hüseyin,,Female,Sales,Junior,23,76743.0,PhD,4,Divorced,False,32,True,0,False,True,7,1,9,Black,Traveling,4734.422583165658
190,Emine,19.0,Male,HR,Intern,2,48487.0,High School,1,Single,False,50,False,14,False,True,3,6,7,Green,Reading,7087.383619863522
191,Hüseyin,28.0,Female,Finance,Senior,30,147430.0,Master,2,Divorced,True,32,True,1,False,True,5,2,5,White,Traveling,18799.29616842306
